Modelo,Dia Prevista,Valor Previsto,Valor Realizado,MAPE (%)
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-19,2812.5,2630,6.94
Voting(ETR+RFR+XGB),2025-03-19,2905.0,2630,10.46
FEAT+ABR(3),2025-03-20,2761.6,2731,1.12
Pipeline em Produção,2025-03-20,2750.3,2731,8.31
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-20,3120.0,2731,14.24
Voting(ETR+RFR+XGB),2025-03-20,2760.9,2731,1.09
FEAT+ABR(3),2025-03-21,2861.7,2649,8.03
Pipeline em Produção,2025-03-21,2865.3,2649,7.58
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-21,2785.8,2649,5.16
Voting(ETR+RFR+XGB),2025-03-21,2720.3,2649,2.69
FEAT+ABR(3),2025-03-24,2857.4,2015,41.81
Pipeline em Produção,2025-03-24,3073.4,2015,74.12
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-24,2799.5,2015,38.93
Voting(ETR+RFR+XGB),2025-03-24,2813.4,2015,39.62
FEAT+ABR(3),2025-03-25,2750.6,2561,7.4
Pipeline em Produção,2025-03-25,3219.8,2561,41.46
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-25,2574.0,2561,0.51
Voting(ETR+RFR+XGB),2025-03-25,2892.9,2561,12.96
FEAT+ABR(3),2025-03-26,2649.2,2339,13.26
Pipeline em Produção,2025-03-26,2774.0,2339,12.19
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-26,2778.3,2339,18.78
Voting(ETR+RFR+XGB),2025-03-26,2683.0,2339,14.71
FEAT+ABR(3),2025-03-27,2660.6,2037,30.61
Pipeline em Produção,2025-03-27,2601.3,2037,22.15
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-27,2750.7,2037,35.04
Voting(ETR+RFR+XGB),2025-03-27,2558.6,2037,25.61
FEAT+ABR(3),2025-03-28,2463.5,2360,4.39
Pipeline em Produção,2025-03-28,2580.9,2360,38.5
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-28,2657.8,2360,12.62
Voting(ETR+RFR+XGB),2025-03-28,2438.0,2360,3.31
FEAT+ABR(3),2025-03-31,2457.6,2549,3.59
Pipeline em Produção,2025-03-31,2584.4,2549,2.9
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-03-31,2881.8,2549,13.05
Voting(ETR+RFR+XGB),2025-03-31,2602.5,2549,2.1
FEAT+ABR(3),2025-04-01,2539.4,2267,12.02
Pipeline em Produção,2025-04-01,2784.4,2267,12.43
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-01,2564.6,2267,13.13
Voting(ETR+RFR+XGB),2025-04-01,2513.9,2267,10.89
FEAT+ABR(3),2025-04-02,2384.7,2016,18.29
Pipeline em Produção,2025-04-02,2481.4,2016,5.7
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-02,2652.9,2016,31.59
Voting(ETR+RFR+XGB),2025-04-02,2307.5,2016,14.46
FEAT+ABR(3),2025-04-03,2360.9,2526,6.54
Pipeline em Produção,2025-04-03,2384.4,2526,16.23
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-03,2534.2,2526,0.33
Voting(ETR+RFR+XGB),2025-04-03,2300.6,2526,8.92
FEAT+ABR(3),2025-04-04,2407.2,2237,7.61
Pipeline em Produção,2025-04-04,2544.4,2237,7.79
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-04,2294.7,2237,2.58
Voting(ETR+RFR+XGB),2025-04-04,2443.0,2237,9.21
FEAT+ABR(3),2025-04-07,2319.8,2836,18.2
Pipeline em Produção,2025-04-07,2341.9,2836,37.87
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-07,2309.5,2836,18.57
Voting(ETR+RFR+XGB),2025-04-07,2464.3,2836,13.11
FEAT+ABR(3),2025-04-08,2733.2,2726,0.27
Pipeline em Produção,2025-04-08,2615.1,2726,19.55
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-08,2367.1,2726,13.17
Voting(ETR+RFR+XGB),2025-04-08,2656.2,2726,2.56
FEAT+ABR(3),2025-04-09,2335.8,2800,16.58
Pipeline em Produção,2025-04-09,2645.3,2800,3.74
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-09,2366.0,2800,15.5
Voting(ETR+RFR+XGB),2025-04-09,2550.3,2800,8.92
FEAT+ABR(3),2025-04-10,2700.4,2452,10.13
Pipeline em Produção,2025-04-10,2756.7,2452,3.39
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-10,2358.5,2452,3.81
Voting(ETR+RFR+XGB),2025-04-10,2697.0,2452,9.99
FEAT+ABR(3),2025-04-11,2758.4,2489,10.82
Pipeline em Produção,2025-04-11,2407.9,2489,2.52
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-11,2463.2,2489,1.04
Voting(ETR+RFR+XGB),2025-04-11,2622.2,2489,5.35
FEAT+ABR(3),2025-04-14,2669.3,2584,3.3
Pipeline em Produção,2025-04-14,2785.5,2584,31.88
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-14,2747.6,2584,6.33
Voting(ETR+RFR+XGB),2025-04-14,2663.8,2584,3.09
FEAT+ABR(3),2025-04-15,2614.8,2697,3.05
Pipeline em Produção,2025-04-15,2547.9,2697,3.07
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-15,2415.6,2697,10.43
Voting(ETR+RFR+XGB),2025-04-15,2580.0,2697,4.34
FEAT+ABR(3),2025-04-16,2515.5,2508,0.3
Pipeline em Produção,2025-04-16,2482.6,2508,2.36
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-16,2714.8,2508,8.25
Voting(ETR+RFR+XGB),2025-04-16,2501.1,2508,0.27
FEAT+ABR(3),2025-04-17,2374.6,2874,17.38
Pipeline em Produção,2025-04-17,2358.6,2874,5.35
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-17,2446.8,2874,14.86
Voting(ETR+RFR+XGB),2025-04-17,2381.1,2874,17.15
FEAT+ABR(3),2025-04-22,2648.9,1978,33.92
Pipeline em Produção,2025-04-22,2651.1,1978,2024.01
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-22,2459.0,1978,24.32
Voting(ETR+RFR+XGB),2025-04-22,2892.8,1978,46.25
FEAT+ABR(3),2025-04-23,2574.0,2487,3.5
Pipeline em Produção,2025-04-23,2434.1,2487,28.75
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-23,2438.0,2487,1.97
Voting(ETR+RFR+XGB),2025-04-23,2475.3,2487,0.47
FEAT+ABR(3),2025-04-24,2541.1,2501,1.6
Pipeline em Produção,2025-04-24,2534.9,2501,1.4
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-24,2453.7,2501,1.89
Voting(ETR+RFR+XGB),2025-04-24,2405.3,2501,3.83
FEAT+ABR(3),2025-04-25,2582.3,2549,1.31
Pipeline em Produção,2025-04-25,2562.9,2549,5.33
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-25,2460.3,2549,3.48
Voting(ETR+RFR+XGB),2025-04-25,2469.9,2549,3.1
FEAT+ABR(3),2025-04-28,2373.2,2631,9.8
Pipeline em Produção,2025-04-28,2534.9,2631,16.77
